testtopic	questionid	question	optiona	optionb	optionc	optiond	optione	optionf
Adobe-Photoshop-CS2-Test-3722	146569	"You can&nbsp;&nbsp;make a selection prior to selecting the Patch tool. State whether its true or false."	True	False<br>				
Adobe-Photoshop-CS2-Test-3722	146570	Which among the following tool changes the color saturation of an area?	Dodge Tool	Burn Tool	Sponge Tool	Sharpen Tool<br>		
Adobe-Photoshop-CS2-Test-3722	146571	Which of the following tools works when you are in Bitmap Color mode?	Magic wand	Blur	Healing Brush	Crop		
Adobe-Photoshop-CS2-Test-3722	146572	In the diagram given above, which option represents Color replacement tool?	A	B	C	D		
Adobe-Photoshop-CS2-Test-3722	146573	Which among the following is a windows keyboard shortcut for selecting Edge Highlighter tool in the Extract toolbox?	G	I	B	C		
Adobe-Photoshop-CS2-Test-3722	146574	Which among the following is a windows Function Key for showing and hiding Color palette?	F3	F4	F5	F6		
Adobe-Photoshop-CS2-Test-3722	146575	Which among the following file format will you be using to import annotations?	PNG Format	PCX	PiCT File	PDF<br>		
Adobe-Photoshop-CS2-Test-3722	146576	Which among the following file format supports layers?	Photoshop Raw	PSD	JPEG	BMP<br>		
Adobe-Photoshop-CS2-Test-3722	146577	You can't save Duotone, Multichannel, or Bitmap mode images in JPEG 2000 format.State whether the statement is true or false.	True	False<br>				
Adobe-Photoshop-CS2-Test-3722	146578	Which among the following option is true about the DCS file format?	It is another version of EPS that lets you save color separations of CMYK or multichannel files.	It does not retain spot color channels in the image.	DCS  stands for Digital Color Separations.	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146579	If you resize, resample, remove alpha channels, or change the color mode or file format of a Filmstrip file in Photoshop, you won't be able to save it back to Filmstrip format.State whether the statement is true or false.	True	False<br>				
Adobe-Photoshop-CS2-Test-3722	146580	Which among the following format is used for rendering three-dimensional images and animation?	WBMP	Radiance format	PNG format	Pixar format<br>		
Adobe-Photoshop-CS2-Test-3722	146581	Which among the following is not true about TIFF file format?	TIFF is a flexible bitmap image format supported by virtually all paint and page-layout applications	TIFF documents have a maximum file size of 4 GB	It does not support CMYK, RGB, Lab, Indexed Color, and Grayscale images with alpha channels	You can save high dynamic range images as 32-bits-per-channel TIFF files<br>		
Adobe-Photoshop-CS2-Test-3722	146582	ImageReady only uses the RGB mode to work with images. State whether the statement is true or false.	True	False				
Adobe-Photoshop-CS2-Test-3722	146583	What among the following is true about Color Separation?	When converting to indexed color, Photoshop builds a color lookup table (CLUT) and this process is called Color separation	Converting an RGB image into CMYK creates a color Separation	Chromatic aberration is another name for Color Separation	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146584	Which among the following feature is not true about Bitmap Mode?	Bitmap mode uses one of two color values to represent the pixels in an image	Images in Bitmap mode are called bitmapped 1-bit	Bitmap mode uses red and blue color values	You can convert Bitmap mode to grayscale<br>		
Adobe-Photoshop-CS2-Test-3722	146585	"Embedding color profiles&nbsp;&nbsp;does not increase the size of PDF files.State whether the statement is true or false."	True	False<br>				
Adobe-Photoshop-CS2-Test-3722	146586	Which among the following type of swatches can be shared with any other Adobe CS2 application by saving a swatch library for exchange?	Patterns	Gradients	Duotone	Solid Swatches<br>		
Adobe-Photoshop-CS2-Test-3722	146587	In the given diagram A represents Out of Gamut option. Among which of the following color mode does this option work?	Bitmap 	Lab color	CMYK	Grayscale<br>		
Adobe-Photoshop-CS2-Test-3722	146588	Which among the following option represents Midtones in the given Histogram palette?	A	B	C	D<br>		
Adobe-Photoshop-CS2-Test-3722	146589	Why do we use Defringe in layers?	It selects colors using data from all the visible layers	It blurs edges by building a transition boundary between the selection and its surrounding pixels	It replaces the color of any fringe pixels with the colors of nearby pixels containing pure colors	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146590	For type layers, Lock Transparency and Lock Image are selected by default and cannot be deselected. State whether the statement is true or false.	True	False<br>				
Adobe-Photoshop-CS2-Test-3722	146591	Which among the following is not true about Flattening layers?	Reduces file size by merging all visible layers into the background	Discards hidden layers	Any transparent areas that remain are filled with white	Converts a color image to a high-quality grayscale image<br>		
Adobe-Photoshop-CS2-Test-3722	146593	State whether the statement is true or false.<br><br>You can apply layer effects and styles to a background, a locked layer, or a group.	True	False<br>				
Adobe-Photoshop-CS2-Test-3722	146594	In the given picture, what does the icon represent in the Layers palette denoted by A?	Filter has been added to the layer	Vector mask has been added to the layer	Style has been added to the layer	Image mode has been changed to 16-bit color<br>		
Adobe-Photoshop-CS2-Test-3722	146595	"State whether the statement is True or False.<br><br>
All filters can not be applied to 8-bit images."	True	False<br>				
Adobe-Photoshop-CS2-Test-3722	146596	Which among the following feature is not true about the Vanishing point?	It preserves the perspective plane information in an image	Putting the Vanishing Point results in a separate layer	You can not use your first Vanishing Point session for creating perspective planes	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146597	What would happen if we set undefined feature to wrap around option in Displace Filter box?	It will extend the colors of pixels along the edge of the image in the direction specified	It will fill the undefined space with content from the opposite edge of the image	It will fill the selected area with the current background color	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146598	Which of the following options represents Freeze Mask tool in the picture given above of Liquify Filter box?	a	b	c	d<br>		
Adobe-Photoshop-CS2-Test-3722	146599	Which among the following is not a Light type in Lighting Effects?	Directional	Omni	Spotlight	RGB Light		
Adobe-Photoshop-CS2-Test-3722	146600	"Which among the following option would you&nbsp;&nbsp;be selecting to create a custom Filter?"	"Select Filter &gt; Other &gt;Custom"	"Select Filter &gt;Custom"	"Select Filter &gt; Digimarc &gt;Custom"	"Select Preferences &gt;Custom<br>"		
Adobe-Photoshop-CS2-Test-3722	146601	Which among the following filter has been applied to produce such kind of effect?	Dust & Scratches	Add Noise	Fibers	Despeckle<br>		
Adobe-Photoshop-CS2-Test-3722	146602	Which of the following video filters restricts the gamut of colors to bleed across television scan lines?	De-Interlace	Digimarc	Satin	NTSC Colors<br>		
Adobe-Photoshop-CS2-Test-3722	146603	Which among the following options would you choose to optimize your artwork while saving it?	Choose File > Save a version	Choose File > Save For Web	Choose File > Revert	None		
Adobe-Photoshop-CS2-Test-3722	146604	Which among the following file format is not supported by Photoshop when you save images for web?	PNG-24	GIF	JPEG	PSD<br>		
Adobe-Photoshop-CS2-Test-3722	146605	"State whether the statement is true or false:<br><br>
In the diagram given above of image ready, A represents Lock icon.<br><br>
Locking colors does not prevent them from dithering in a browser."	True	False<br>				
Adobe-Photoshop-CS2-Test-3722	146606	Which among the following is true about the Weighted optimization?	Smoothly varies compression settings using channels to display higher-quality results in critical image areas	Lets you define a new compression by modifying a copy of an old one	Produces low-quality results in critical image areas without greatly increasing file size	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146607	Which among the following determines how pixels are added or deleted?	Resampling	Downsample	Interpolation	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146608	"In the diagram given above of web palette,which among the following slice includes a&nbsp;&nbsp;rollover effect?"	A	B	C	D<br>		
Adobe-Photoshop-CS2-Test-3722	146609	"What option will you&nbsp;&nbsp;be using to convert a layer-based slice to a user slice to unlink it from the layer in photoshop?"	Click Promote To User Slice in the options bar	"Choose Layer &gt; New Layer Based Slice"	"Choose Layer &gt; Smart objects &gt; Convert to layer"	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146610	"Why do we Choose Select &gt; Reselect?"	To reselect the most recent selection	To reselect the most recent Color	To reselect the most recent Layer	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146611	Which among these is the right option to Warp an item?	"Choose Edit &gt; Warp"	"Choose Window &gt; Workspace &gt; Warp"	"Choose Window &gt; Arrange &gt; Warp"	"Choose Edit &gt; Transform &gt; Warp<br>"		
Adobe-Photoshop-CS2-Test-3722	146612	What does Photomerge command do in Photoshop?	Combines several photographs into one continuous image	Prevents users from overwriting each other's work	Reduces blur in the picture	Causes Chromatic aberration in the picture<br>		
Adobe-Photoshop-CS2-Test-3722	146613	Which among the following is the right command to  Merge the images to HDR in photoshop?	Choose Select > Merge To HDR	Choose Image > Variations > Merge To HDR	Choose File > Automate > Merge To HDR	Choose File > Merge To HDR		
Adobe-Photoshop-CS2-Test-3722	146613	Which among the following is the right command to  Merge the images to HDR in photoshop?	Choose Select > Merge To HDR	Choose Image > Variatons > Merge To HDR	Choose File > Automate > Merge To HDR	Choose File > Merge To HDR		
Adobe-Photoshop-CS2-Test-3722	146614	Which among the following is not true about the Image Processor?	Resizes images to fit within specified pixel dimensions	Includes copyright metadata into the converted images	The Image Processor works with BMP and EPS	None of these<br>		
Adobe-Photoshop-CS2-Test-3722	146615	Which among the following icon leads to Go to Adobe Bridge?	A	B	C	D<br>		
Adobe-Photoshop-CS2-Test-3722	146616	In the diagram given above concavity is denoted by A, what will happen if we set this value to 60% as shown in the picture?	The amount of curvature will be Steep	Arrowhead will not appear	It won't accept this value	None of these<br>		
Adobe-Photoshop-CS4-Test-6856	171262	Which of the following information is not retained when a 3D file is opened in photoshop?	Textures	Rendering	Lighting	All of the above are retained		
Adobe-Photoshop-CS4-Test-6856	171263	In Paint Mask mode, which area does blue color highlight in the given image?	It shows areas good for painting.	It shows areas where paint will be undersampled.	It shows areas where paint will be oversampled.	It shows that the area has a missing channel information.<br>		
Adobe-Photoshop-CS4-Test-6856	171264	What values would you enter in the focal plane box to move the plane in the 3D render settings box as shown in the picture?	Enter negative values to move the plane forward.	Enter negative values to move the plane backward.	You can not enter negative values in this box.<br>			
Adobe-Photoshop-CS4-Test-6856	171265	The Photoshop Extended Measurement Feature can be used for measuring area selected by the:	Rectangular Marquee Tool.	Magic Wand Tool	Crop Tool	Spot Healing Brush Tool		
Adobe-Photoshop-CS4-Test-6856	171266	Which of the following properties of a 3D layer can not be animated?	3D object or camera position	3D render settings	3D cross section	None of the above<br>		
Adobe-Photoshop-CS4-Test-6856	171267	Which option in the given picture displays Normals as default render presets?	A	B	C	D<br>		
Adobe-Photoshop-CS4-Test-6856	171268	As shown in the image, which map is based on a multi-channel image?	A	B	Both a and b			
Adobe-Photoshop-CS4-Test-6856	171269	Which option of Create UV Overlay shows model areas using a solid rendering mode?	Wireframe	Shaded	Normal Map<br>			
Adobe-Photoshop-CS4-Test-6856	171270	As shown in the image, which option would you select to increase or decrease the tiling for texture?	A	B	Both a and b<br>			
Adobe-Photoshop-CS4-Test-6856	171271	When does the 3D Axis appear?	When you have a 3D layer	When the 3D tool is selected.	Both a and b.<br>			
Adobe-Photoshop-CS4-Test-6856	171272	The scale styles option is available only when:	the Resample Image is selected	Constrain Proportions is selected	the Resample Image as well as Constrain Proportions is selected<br>			
Adobe-Photoshop-CS4-Test-6856	171273	Which option would you choose to crop to the original size of the page while placing a PDF file in photoshop as shown in the picture?	A	B	C	D<br>		
Adobe-Photoshop-CS4-Test-6856	171274	Which of the following photoshop tools can be used to edit an HDR/32-bpc image?	Gradient	Magic Wand	Pen Tool	Blur Tool		
Adobe-Photoshop-CS4-Test-6856	171275	Which option would you choose to display the HDR color picker?	In the toolbox, click the foreground or background color selection box.	In the Color panel, click the set foreground color or set background color selection box.	Both a and b.<br>			
Adobe-Photoshop-CS4-Test-6856	171276	For previewing which of the following image modes is the 32-Bit Preview option not available?	32 Bit RGB	32 Bit Grayscale	16 Bit RGB<br>			
Adobe-Photoshop-CS4-Test-6856	171277	Which format can be used to save your camera raw file in Photoshop?	AI	FLA	MPEG	JPEG		
Adobe-Photoshop-CS4-Test-6856	171278	When does white color appear in the histogram and RGB levels in Camera Raw as shown in the picture?	When three channels among RGB overlap.	When two channels among RGB overlap.	When a style is applied to an image. <br>			
Adobe-Photoshop-CS4-Test-6856	171280	What will happen if you enter a negative value in the roundness option of a postcrop vignette in the camera raw dialog box as shown in the picture?	A negative value will make the effect more circular.	A negative value will make the effect more oval.	A negative value will make the effect more rectangular.	You can not enter a negative value.<br>		
Adobe-Photoshop-CS4-Test-6856	171281	Which of the following options will let you use the white balance settings as provided by the camera in the camera raw dialog box as shown in the picture?	A	B	C<br>			
Adobe-Photoshop-CS4-Test-6856	171282	Which 3D tool is used to rotate the camera around the z-axis?	The 3D Rotate tool	The 3D Roll tool	The 3D Roll View tool <br>			
Adobe-Photoshop-CS4-Test-6856	171283	What can you not copy using duplicate command on an image?	Layers	Layer masks	Channels	None of the above<br>		
Adobe-Photoshop-CS4-Test-6856	171284	Which option in the info panel box displays values in the current color mode of the image as shown in the picture?	A	B	C	D<br>		
Adobe-Photoshop-CS4-Test-6856	171285	Which action can not be undone?	"File &#8594; Revert"	"Edit &#8594; Purge &#8594; Histories"	Both a and b<br>			
Adobe-Photoshop-CS4-Test-6856	171286	Which command allows you to use free memory used by the History Panel, or the Clipboard?	Fade	Clear	Purge<br>			
Adobe-Photoshop-CS4-Test-6856	171287	To change the settings for a command within an action or pauses in an action so that you can specify values in a dialog box, You will use:	Insert stop	Modal control	Stop recording<br>			
Adobe-Photoshop-CS4-Test-6856	171288	While using the Action Pane in the button mode, how would you exclude all the commands in an action except the selected one?	By using Alt+Click (Windows) or Option+Click (Mac) to clear the check box on the left of the command.	By clicking to clear the check box on the left of the Action or the Set Name.	You cannot exclude commands in the button mode.<br>			
Adobe-Photoshop-CS4-Test-6856	171288	While using the Action Panel in the button mode, how would you exclude all the commands in an action except the selected one?	By using Alt+Click (Windows) or Option+Click (Mac) to clear the check box on the left of the command.	By clicking to clear the check box on the left of the Action or the Set Name.	You cannot exclude commands in the button mode.<br>			
Adobe-Photoshop-CS4-Test-6856	171289	What would you use to insert non-recordable commands into an action?	Insert Stop	Insert Path	Insert Menu Item Command<br>			
Adobe-Photoshop-CS4-Test-6856	171291	Which save options are not available in the Batch or Create Droplet commands?	JPEG compression	TIFF	Both a and b<br>			
Adobe-Photoshop-CS4-Test-6856	171292	Which mode in the animation panel shows the frame duration and animation properties for document layers?	The Frame mode	The Timeline mode	Both a and b<br>			
Adobe-Photoshop-CS4-Test-6856	171293	To paint or clone on video frames contained by a smart object, you can:	directly paint or clone on the video frames.	insert a new layer above the video frames and paint or clone on the new layer.	Both a and b.			
Adobe-Photoshop-CS4-Test-6856	171294	Which command would you use to re-link the video layer to the source file?	Interpret Footage	Show Altered Video	Replace Footage			
Adobe-Photoshop-CS4-Test-6856	171295	Which command does not convert the pixel edits to a video layer while managing colors in video layers?	The Assign Profile	The Convert To Profile	The Color Settings Profile<br>			
Adobe-Photoshop-CS4-Test-6856	171296	Which command is used to delete footage in one or more layers in the timeline mode?	Extract Work Area	Lift Work Area	Split Layer<br>			
Adobe-Photoshop-CS4-Test-6856	171297	In which frame disposal method does a disposal icon not appear on the frame?	When you choose the Do Not Dispose method.	When you choose the Dispose method.	When you choose the Automatic method.<br>			
Adobe-Photoshop-CS4-Test-6856	171298	Which interpolation method will you use to animate a visiblity layer when you want the layer to appear or disappear suddenly across the timeline?	Linear Interpolation	Hold Interpolation	Quick Interpolation<br>			
Adobe-Photoshop-CS4-Test-6856	171299	Which among the labeled buttons in the given diagram will you use to have a changed position attribute apply to all other frames in the active layer in the frame animation mode?	A	B	C	D<br>		
Adobe-Photoshop-CS4-Test-6856	171300	Which condition should be satisfied first to transform video layers?	Rasterize video layers	Move video layers	Convert video layers to Smart Objects<br>			
Adobe-Photoshop-CS4-Test-6856	171301	Which option would you choose to set the timeline duration you want to preview in the Animation panel?	Drag either end of the work area bar.	Drag the work area bar over the section you want to preview.	Move the current-time indicator to the time or frame you want. From the Animation panel menu, choose either Set Start of Work Area or Set End of Work Area.	All of the above<br>		
Adobe-Photoshop-CS4-Test-6856	171302	When does the Cached Data Warning icon appear in the Histogram panel?	When a histogram is read from the current state of the document instead of a cache.	When a histogram is read from a cache instead of the current state of the document.	Both a and b.<br>			
Adobe-Photoshop-CS4-Test-6856	171303	Which color mode supports the Match Color command?	Bitmap	CMYK	LAB	RGB<br>		
Adobe-Photoshop-CS4-Test-6856	171304	In All Channels View, the individual histograms do not include:	Alpha Channels	Spot Channels	Masks	All of the above<br>		
Adobe-Photoshop-CS4-Test-6856	171305	If one step in an action converts an image with a source mode of RGB to a target mode of CMYK, applying this action to an image in Grayscale mode will result in:	the conversion of the source Grayscale image to CMYK	the conversion of the source Grayscale image to RGB	the conversion of the source Grayscale image to RGB first and then to CMYK	an error<br>		
Adobe-Photoshop-CS4-Test-6856	171306	Which of the following types of swatches can be shared between applications? (choosing colors)	HSB	Duotone	WebRGB swatches from Photoshop	Solid swatches<br>		
Adobe-Photoshop-CS4-Test-6856	171307	Which color mode does not support layers?	RGB	CMYK	The Multichannel mode <br>			
Adobe-Photoshop-CS4-Test-6856	171308	Which type of slices has gray symbols as shown in the picture?	User slices	Layer-based slices	Auto slices<br>			
Adobe-Photoshop-CS4-Test-6856	171309	The Divide Slice dialog box can not be used to divide:	User slice	Auto slice	Layer-based slice<br>			
Adobe-Photoshop-CS4-Test-6856	171310	In the File Info dialog box, which information is not displayed in a browser but is added to the HTML file as a comment and to the image file as metadata?	Title information	Copyright information	Both a and b<br>			
Adobe-Photoshop-CS4-Test-6856	171311	Which slice type will you choose to enter HTML text as shown in the picture?	A	B	Both a and b<br>			
Adobe-Photoshop-CS4-Test-6856	171312	In the Save for Web dialog box, when multiple slices using different color tables are selected for saving as gif images, the color table shows up for:	the first slice in the selection	the last slice in the selection	all the slices in the selection	the color table does not show up at all<br>		
Adobe-Photoshop-CS4-Test-6856	171313	Which type of channels is created automatically when you open a new image?	Alpha channels	Spot color channels	Color information channels<br>			
Adobe-Photoshop-CS4-Test-6856	171315	Merging of channels is possible only:	when images are in the grayscale mode.	when images are flattened.	when more than one image open for the merge channel option to be available.	All of the above.<br>		
Adobe-Photoshop-CS4-Test-6856	171316	You can move Alpha or Spot channels above the default color channels only when the image is in the __________ mode?	RGB	Duotone	LAB	Multichannel <br>		
Adobe-Photoshop-CS4-Test-6856	171317	When is an image flattened?	When you delete an Alpha channel	When you delete a Spot channel	When you delete a Quick Mask	None of the above<br>		
Adobe-Photoshop-CS4-Test-6856	171318	Which command cannot be applied to composite channels?	Apply Image command	Calculations command	Both a and b<br>			
Adobe-Photoshop-CS4-Test-6856	171319	Which type of blending modes is not available for the Apply Image and Calculations commands?	Add	Subtract	Both a and b are available	Neither a nor b is available		
Adobe-Photoshop-CS4-Test-6856	171320	Which Quick Mask option sets masked areas to white (transparent) and selected areas to black (opaque) as shown in the picture?	A	B	Both a and b			
Adobe-Photoshop-CS4-Test-6856	171321	In which option is the selection placed in a channel in your active image by default as shown in the picture?	A	B	C<br>			
Adobe-Photoshop-CS4-Test-6856	171322	"When does Layer &#8594; Arrange &#8594; Reverse option appear active?"	When you have at least one layer selected.	When you have at least two layers selected.	It is always active by default.	When you flatten an image. <br>		
Adobe-Photoshop-CS4-Test-6856	171323	Which type of layers contains information required for alignment?	Adjustment layers	Vector layers	Smart objects	None of the above<br>		
Adobe-Photoshop-CS4-Test-6856	171324	For which type of the following options is Auto Blend Layers available?	Video layers	3D layers	RGB Images	Background layers<br>		
Adobe-Photoshop-CS4-Test-6856	171325	For the type and shape layer, which lock options are selected by default and cannot be deselected as shown in the picture?	A and B	B and C	A,B and C	C only<br>		
Adobe-Photoshop-CS4-Test-6856	171326	"While using a smudge tool, if the ""Sample All Layers"" option is selected, how will the smudge tool behave?"	It will sample all the visible layers and smudge respectively each layer	It will sample all the visible layers and smudge only the active layer	It will sample only the active layer and smudge all the visible layers	It will sample only the active layer and smudge only the active layer<br>		
Adobe-Photoshop-CS4-Test-6856	171327	Which type of the blending mode is supported by layers that use the Fill With Neutral Color option?	Normal	Dissolve	Luminosity	None of the above<br>		
Adobe-Photoshop-CS4-Test-6856	171328	How would you apply a layer style to a background layer?	You cannot apply layer styles to a background layer.	First convert the background layer into a regular layer.	First export the background layer.<br>			
Adobe-Photoshop-CS4-Test-6856	171329	Which Auto-Align layers option aligns layers and matches overlapping content without changing the shape of the objects in the image as shown in the picture?	A	B	C	D<br>		
Adobe-Photoshop-CS4-Test-6856	171330	If there is no background, Deep knocks out to which of the following options as shown in the picture?	Deep knockout appears dim.	Deep knocks out to Shallow option.	Deep knocks out to transparency.			
Adobe-Photoshop-CS4-Test-6856	171331	Which of the following layers affects all the layers below it?	The Adjustment layer	The Fill layer	Both a and b<br>			
Adobe-Photoshop-CS4-Test-6856	171332	Which Artistic filter is used on picture A to produce picture B as shown in the picture?	Paint Daubs	Palette Knife	Plastic Wrap	Poster Edges<br>		
Adobe-Photoshop-CS4-Test-6856	171333	Which smart blur mode has been used as shown in the preview in the given image?	A	B	C	No mode is used.<br>		
Adobe-Photoshop-CS4-Test-6856	171334	What is the use of the Monochromatic option in the Add Noise dialog box as shown in the picture?	It reduces noise by changing dissimilar pixels.	It applies the filter to only the tonal elements in the image without changing the colors.	It reduces noise in an image by blending the brightness of the pixels within a selection.			
Adobe-Photoshop-CS4-Test-6856	171335	Which channel would you choose for grayscale images in the Color Halftone Filter dialog box as shown in the picture?	A	B	C	D<br>		
Adobe-Photoshop-CS4-Test-6856	171336	As shown in the picture, the Mask Incomplete Blocks option in the Extrude Filter dialog box is selected:	to fill the front face of each block with the average color of the block.	to fill the front face with the image.	to give each block or pyramid an arbitrary depth.	to hide any object extending beyond the selection.<br>		
Adobe-Photoshop-CS4-Test-6856	171338	"In the given picture, the Cont&#233; Crayon filter(sketch filter) uses the foreground color for:"	Light areas	Dark areas	Transparency			
Adobe-Photoshop-CS4-Test-6856	171339	In the given picture, which Reconstruction mode in the Liquify filter scales back distortions uniformly without any kind of smoothing?	A	B	C<br>			
Adobe-Photoshop-CS4-Test-6856	171340	Which file format does Vanishing Point support to preserve the perspective plane information?	PSD	TIFF	JPEG	All of the above		
Adobe-Photoshop-CS4-Test-6856	171341	Which Texture filter is used on picture A to produce the result of picture B, as shown in the picture?	Craquelure	Patchwork	Texturizer	Grain<br>		
Advanced-Java-Test-15	16291	Which of the following is not a tier of three-tier architecture?	Client Interface	Business Logic	Security	Data Storage		
Advanced-Java-Test-15	16292	Which of the following terms supports object reuse?	Class Inheritance	Object Composition	Java Beans	Attributes	Class Inheritance, Java Beans, Object Composition	
Advanced-Java-Test-15	16293	Which of the following diagrams map software components to processing nodes?	Component Diagram	Collaboration Diagram	Deployment Diagram	Object Diagram	Variable Diagram <br>	
Advanced-Java-Test-15	16294	Which of the following occurs first in the object oriented development cycle?	Object Oriented analysis	Object generation	Problem statement	Development testing	Object inheritance <br>	
Advanced-Java-Test-15	16295	Which of the following is a well-known HTTP port?	21	25	8080	80	137 <br>	
Advanced-Java-Test-15	16296	Which of the following may not be found on the Web?	HTML	HTTP	URL	JavaScript	Java	
Advanced-Java-Test-15	16297	Suppose a database server does not support a pure JDBC driver, but it does support an ODBC driver. How will you access the database server using JDBC?	Use SQL	Use JNDI	Use JDBC-ODBC bridge driver	Use Java RMI	Use JINI	
Advanced-Java-Test-15	16298	Which distributed object technology is most appropriate for systems that consist entirely of Java objects?	RMI	CORBA	DCOM	COM	JDBC <br>	
Advanced-Java-Test-15	16299	Which of the following is a Java API for managing enterprise services, systems and networks?	JTA	Java Server Page	JMAPI	JDBC	ODBC <br>	
Advanced-Java-Test-15	16300	Which of the following Java technologies support transaction processing?	RMI	CORBA	JTS	JMAPI	JDBC	
Advanced-Java-Test-15	16301	Which object would you find in a directory service?	An EJB Home interface	An EJB component	The EJB API	An EJB Object interface	An EJB object <br>	
Advanced-Java-Test-15	16302	JDBC is based on:	X/Open CLI (Call Level Interface)	JDBC/Open CLI	Java/Open CLI	V/OPEN CLI	V/CLOSE CLI	
Advanced-Java-Test-15	16303	You want to call a function written in C in your Java application remotely. How will you do it?	Use IDL	Use CORBA	Use RMI	Use COBRA	Use JDBC	
Advanced-Java-Test-15	16304	Which distributed object technology is most appropriate for systems that consist of objects written in different languages and that execute on different operating system platforms? <br>	RMI	CORBA	COBRA	DCOM	COM <br>	
Advanced-Java-Test-15	16305	Distributed Computing in Java means: <br> <br>	Objects on different machines working together	Methods on different machines working together	Methods on same machines working together	Objects on same machines working together	Classes on different machines working together <br>	
Advanced-Java-Test-15	16306	Servlet developers should avoid using JDBC-ODBC bridge driver because:	Drivers are bundled with JDK	Driver's native code can crash the entire server	Drivers are insecure	Drivers are of Type-1	Drivers are of Type -2 <br>	
Advanced-Java-Test-15	16307	"You need to use third party drivers for establishing a connection with the DBMS having subprotocol ""webx"". What would be the syntax of the URL?"	jdbc:odbc:webx:dsn name	odbc:jdbc:webx:dsn name	jdbc:webx:dsn name	thin:jdbc:odbc:dsn:dsn name	thick:jdbc:odbc:dsn:dsn name <br> <br>	
Advanced-Java-Test-15	16308	Which of the following is contained in a Java security policy file?	Grant entries	Trusted code	Aliases and their public keys	Digital certificates	CA <br>	
Advanced-Java-Test-15	16309	X.509 version 3 specifies which of the following?	A format and content for digital certificates	The IPSec standard	The Secure Socket Layer	The Data Encryption Standard	A file for digital certificates <br>	
Advanced-Java-Test-15	16310	Where are victim hosts located with respect to a firewall? <br>	In the external untrusted network	In the internal trusted network	In the DMZ	In an application proxy	In the MDZ <br>	
Advanced-Java-Test-15	16311	Which of the following is true about the Java Cryptography Extension (JCE)?	It is included with Java 2 platform	It is included with Java 1 platform	It implements cryptographic algorithms	It contains the Java Security API	It is subject to Indian export control	
Advanced-Java-Test-15	16312	Maintaining object semantics means: <br>	Remote object appears same to the client machine as it does to the server machine	Remote object appears different to the client machine as it does to the server machine	Remote variable appears same to the client machine as it does to the server machine	Server object appears different to the client machine as it does to the server machine 	Remote reference appears different to the client machine as it does to the server machine <br>	
Advanced-Java-Test-15	16313	Which of the following is false?	Scrollable ResultSet can be created in JDBC 2.0 API	Cursor is moved forward using next ()	Cursor is moved backward using previous ()	While loop can be used because next () & previous () methods return false beyond the resultset	While loop can be used because next () & previous () methods return -1 beyond the resultset <br>	
Advanced-Java-Test-15	16314	Which of the following is true about a remote object?	Stub object performs business logic	Stub object perform networking routine	Skel object performs business logic	Skel object perform networking routine	Stub object does not perform networking routine	
Advanced-Java-Test-15	16315	Which of the following methods can be used for reporting a warning on Connection object, Statement object & ResultSet object? <br>	getWarnings()	getWarned()	getWarning()	getError()	getErrors() <br>	
Advanced-Java-Test-15	16316	Skeleton translates the return value or exception into: <br>	Encrypted format	Decrypted format	Network format	File format	Data format <br>	
Advanced-Java-Test-15	16317	Which of the following is false?	"CallableStatement is subclass of&nbsp;&nbsp;PreparedStatement"	CallableStatement can take input parameters as PreparedStatement	CallableStatement can use executeUpdate() method	CallableStatement can use execute() method	CallableStatement cannot take INOUT parameters <br>	
Advanced-Java-Test-15	16318	JDK comes with a special program that generates skeleton and stub objects that is known as: <br>	java.rmi.Remote	rmi	rmic	rmijava	javac	
Advanced-Java-Test-15	16319	Which of the following JDBC methods is used to retrieve large binary objects? <br>	getBinaryStream()	getText()	getAsciiStream	getString()	getUniStream() <br>	
Advanced-Java-Test-15	16320	Which of the following is true about rmic? <br>	It is a hybrid of java and javac commands	It is a javac command	It is a hybrid of java and RMI commands	It is a hybrid of RMI and javac commands	It is a hybrid of java and C commands	
Advanced-Java-Test-15	16321	You have a package named java.lib.COM.imaginary.example. You want to generate stub and skeleton classes for SomeObject class. Which of the following is the correct command syntax? <br>	rmic -d/java/lib COM.imaginary.example.SomeObject	rmic -d/java/lib/COM/imaginary/example.SomeObject	rmic -d/java/lib COM/imaginary/example.SomeObject	rmic -d/java,lib COM.imaginary.example.SomeObject	rmic -d/java,lib DCOM.imaginary.example.SomeObject <br>	
